Name,Administration,Pop2014,Pop2019,city,city2,city3,city4,1,2,3
Tokmak,ZAP,32772,31016,XYZ123,XYZ123,NA,NA,NA,NA,NA
Mohyliv-Podilskyj,VIN,31832,30589,Mohyliv-Podilskyi,XYZ123,NA,NA,NA,NA,NA
Synelnykove,DNI,31576,30556,Synelnykove,XYZ123,NA,NA,Sinelnikovo,NA,NA
Alusta,KRY,28295,29963,Alushta,XYZ123,NA,NA,NA,NA,NA
Vyshorod,KYI,26866,29913,Vyshhorod,XYZ123,NA,NA,NA,NA,NA
Pervomajskyj,CHA,30984,29610,Pervomaiskyi,XYZ123,NA,NA,NA,NA,NA
Dobropillja,DON,30884,29384,Dobropillia,XYZ123,NA,NA,NA,NA,NA
Sarny,RIV,28835,29205,XYZ123,XYZ123,NA,NA,Saki,Bar,NA
Cortkiv,TER,29662,28858,Chortkiv,XYZ123,NA,NA,Chortkov,NA,NA
Truskavec,LVI,29386,28705,Truskavets,XYZ123,NA,NA,NA,NA,NA
Novyj Rozdil,LVI,28875,28530,Novyi Rozdil,XYZ123,NA,NA,NA,NA,NA
Chust,ZAK,28600,28424,Khust,XYZ123,NA,NA,NA,NA,NA
Persotravensk,DNI,28994,28178,Pershotravensk,XYZ123,NA,NA,NA,NA,NA
Kupjansk,CHA,29247,27951,Kupiansk,XYZ123,NA,Kupyansk,NA,NA,NA
Ternivka,DNI,28853,27929,Ternivka,XYZ123,NA,NA,NA,NA,NA
Zolotonosa,CKS,28321,27818,Zolotonosha,XYZ123,NA,NA,NA,NA,NA
Chmilnyk,VIN,28275,27707,Khmilnyk,XYZ123,NA,NA,Khmelnik,NA,NA
Balaklija,CHA,29395,27637,Balakliia,XYZ123,NA,NA,NA,NA,NA
Chrestivka,DON,28155,27614,Khrestivka,Kirovske,Kirovskoe,NA,NA,NA,NA
Holubivka,LUH,28244,27167,XYZ123,Kirovsk,NA,NA,NA,NA,NA
Perejaslav-Chmelnyckyj,KYI,27864,27088,Pereiaslav-Khmelnytskyi,XYZ123,NA,NA,NA,NA,NA
Bachcysaraj,KRY,26651,26572,Bakhchysarai,XYZ123,NA,NA,NA,NA,NA
Malyn,ZYT,26886,26056,XYZ123,XYZ123,NA,NA,Malin,NA,NA
Hajsyn,VIN,25879,25735,Haisyn,XYZ123,NA,NA,Gaysin,NA,NA
Vynohradiv,ZAK,25580,25403,XYZ123,XYZ123,NA,NA,Vinogradov,NA,NA
Krasnoperekopsk,KRY,29672,25187,XYZ123,XYZ123,NA,NA,NA,NA,NA
Perevalsk,LUH,25744,25160,Perevalsk,XYZ123,NA,NA,NA,NA,NA
Korostysiv,ZYT,25845,25084,Korostyshiv,XYZ123,NA,NA,Korostyshev,NA,NA
Slavutyc,KYI,24952,24936,Slavutych,XYZ123,NA,NA,NA,NA,NA
Lebedyn,SUM,25816,24853,Lebedyn,XYZ123,NA,NA,Lebedin,NA,NA
