Name,Administration,Pop2010,Pop2019,Region,city,city2
Udomlja,TVE,31061,27641,Central,Udomlya,XYZ123
Topki,KEM,28641,27639,Siberia,XYZ123,XYZ123
Kusva,SVE,30167,27624,Ural,Kushva,XYZ123
Cholmsk,SCL,30937,27479,Far East,Kholmsk,XYZ123
Malojaroslavec,KLG,30392,27411,Central,Maloyaroslavets,XYZ123
Desnogorsk,SMO,29677,27322,Central,XYZ123,XYZ123
Kajerkan,KNJ,27300,27300,Siberia,Kayerkan,XYZ123
Sorocinsk,ORB,29249,27164,Volga,Sorochinsk,XYZ123
Znamensk,AST,29401,27071,Southern,XYZ123,Kasputin Jar-1
Sol-Ileck,ORB,28377,26978,Volga,Sol-Iletsk,XYZ123
Majskij,KBA,26755,26945,Northern Caucasus,Maysky,XYZ123
Verchnij Ufalej,CEL,30481,26885,Ural,Verkhny Ufaley,XYZ123
Semiluki,VRN,26023,26805,Central,XYZ123,XYZ123
Novoaleksandrovsk,STA,26757,26761,Northern Caucasus,Novoalexandrovsk,XYZ123
Kirovsk,LEN,25650,26683,North West,XYZ123,Leningrad oblast
Karasuk,NSB,28586,26673,Siberia,XYZ123,XYZ123
Oktjabrsk,SAM,27244,26512,Volga,Oktyabrsk,XYZ123
Djatkovo,BRA,29439,26483,Central,Dyatkovo,XYZ123
Krasnoarmejsk,MOS,26294,26463,Central,Krasnoarmeysk,XYZ123
Severskaja,KND,24867,26450,Southern,Severskaya,XYZ123
Poltavskaja,KND,26490,26422,Southern,Poltavskaya,XYZ123
Vlasicha,MOS,26359,26417,Central,XYZ123,XYZ123
Kirzac,VLA,29965,26331,Central,Kirzhach,XYZ123
Kamyslov,SVE,26870,26301,Ural,Kamyshlov,XYZ123
Karpinsk,SVE,29113,26249,Ural,XYZ123,XYZ123
Segeza,KAR,29631,26241,North West,Segezha,XYZ123
Krasnoobsk,NSB,18448,26241,Siberia,XYZ123,XYZ123
Kirejevsk,TUL,25557,26217,Central,Kireyevsk,XYZ123
Labytnangi,TUM,26936,26211,Ural,XYZ123,XYZ123
Kirovsk,MUR,28625,26206,North West,XYZ123,Murmansk oblast
Zavodoukovsk,TUM,25647,26195,Ural,XYZ123,XYZ123
Pojkovskij,TUM,25594,26163,Ural,Poykovsky,XYZ123
Sosnogorsk,KOM,27757,26130,North West,XYZ123,XYZ123
Kurcaloj,CEC,22723,26115,Northern Caucasus,Kurchaloy,XYZ123
Novopavlovsk,STA,26562,26106,Northern Caucasus,XYZ123,XYZ123
Polysajevo,KEM,27624,26012,Siberia,Polysayevo,XYZ123
Skopin,RAZ,30376,26005,Central,XYZ123,XYZ123
Ilskij,KND,23781,25981,Southern,Ilsky,XYZ123
Severouralsk,SVE,29263,25827,Ural,Severouralsk,XYZ123
Balabanovo,KLG,26337,25775,Central,XYZ123,XYZ123
Kimovsk,TUL,28485,25727,Central,XYZ123,XYZ123
Otradnoje,LEN,23866,25623,North West,Otradnoye,XYZ123
Dalnerecensk,PRI,27604,25482,Far East,Dalnerechensk,XYZ123
Tbilisskaja,KND,25317,25410,Southern,Tbilisskaya,XYZ123
Jelizavetinskaja,KND,24755,25400,Southern,Elizavetinskaya,XYZ123
Malachovka,MOS,24004,25371,Central,Malakhovka,XYZ123
Janaul,BAS,26924,25361,Volga,Yanaul,XYZ123
Losino-Petrovskij,MOS,22550,25317,Central,Losino-Petrovsky,XYZ123
Kocubejevskoje,STA,26835,25279,Northern Caucasus,Kochubeyevskoye,XYZ123
Aleksandrovskoje,STA,27471,25100,Northern Caucasus,Alexandrovskoye,XYZ123
Mostovskoj,KND,25075,25014,Southern,Mostovskoy,XYZ123
Ozery,MOS,25800,25012,Central,Ozyory,XYZ123
Mednogorsk,ORB,27292,24896,Volga,XYZ123,XYZ123
Inta,KOM,32080,24878,North West,XYZ123,XYZ123
Narjan-Mar,ARC,21658,24827,North West,Naryan-Mar,XYZ123
Morozovsk,ROS,27642,24822,Southern,XYZ123,XYZ123
Zeleznovodsk,STA,24433,24768,Northern Caucasus,Zheleznovodsk,XYZ123
Atkarsk,SAR,25624,24669,Volga,XYZ123,XYZ123
Pavlovsk,VRN,25126,24542,Central,XYZ123,XYZ123
Sasovo,RAZ,28118,24523,Central,XYZ123,XYZ123
Neftekumsk,STA,27687,24472,Northern Caucasus,XYZ123,XYZ123
Kraskovo,MOS,21250,24366,Central,XYZ123,XYZ123
Zernograd,ROS,26842,24217,Southern,XYZ123,XYZ123
Acchoj-Martan,CEC,20172,24212,Northern Caucasus,Achkhoy-Martan,XYZ123
Semenov,NNO,24473,24180,Volga,Semyonov,XYZ123
Asino,TOM,25618,24141,Siberia,XYZ123,XYZ123
Buturlinovka,VRN,27208,24062,Central,XYZ123,XYZ123
Rodniki,IVA,26310,24061,Central,XYZ123,XYZ123
Stroitel,BEL,23933,24038,Central,XYZ123,XYZ123
Sovetskaja Gavan,CBR,27712,23816,Far East,Sovetskaya Gavan,XYZ123
Kalac-na-Donu,VGG,26910,23813,Southern,Kalach-na-Donu,XYZ123
Sarja,KOS,23681,23807,Central,Sharya,XYZ123
Sredneuralsk,SVE,20449,23583,Ural,Sredneuralsk,XYZ123
Ipatovo,STA,26053,23579,Northern Caucasus,XYZ123,XYZ123
Buj,KOS,25763,23578,Central,Buy,XYZ123
Uvarovo,TAM,26830,23578,Central,XYZ123,XYZ123
Tatarsk,NSB,24217,23523,Siberia,XYZ123,XYZ123
Davlekanovo,BAS,24073,23499,Volga,XYZ123,XYZ123
Nesterovskaja,ING,21937,23492,Northern Caucasus,Nesterovskaya,XYZ123
Kuvandyk,ORB,26169,23373,Volga,XYZ123,XYZ123
Kolpasevo,TOM,24124,23260,Siberia,Kolpashevo,XYZ123
Kotelnic,KIR,24979,23244,Volga,Kotelnich,XYZ123
Lensk,SCA,24966,23237,Far East,XYZ123,XYZ123
Otradnaja,KND,23204,23190,Southern,Otradnaya,XYZ123
Tajga,KEM,25331,23168,Siberia,Tayga,XYZ123
Severobajkalsk,BUR,24929,23159,Far East,Severobaykalsk,XYZ123
Zeleznogorsk-Ilimskij,IRK,26079,23137,Siberia,Zheleznogorsk-Ilimsky,XYZ123
Tastagol,KEM,23134,23117,Siberia,Tashtagol,XYZ123
Uneca,BRA,26197,23097,Central,Unecha,XYZ123
Zeja,AMU,24986,23093,Far East,Zeya,XYZ123
Fedorovskij,TUM,20288,23091,Ural,Fedorovsky,XYZ123
Gusinoozersk,BUR,24582,23075,Far East,Gusinoozyorsk,XYZ123
Fokino,PRI,23696,23058,Far East,XYZ123,Skotovo-17
Gorodisce,VGG,21381,23054,Southern,Gorodishche,XYZ123
Kalininec,MOS,21774,23050,Central,XYZ123,XYZ123
Nevjansk,SVE,24567,22943,Ural,Nevyansk,XYZ123
Zarajsk,MOS,24645,22887,Central,Zaraysk,XYZ123
Jessentukskaja,STA,20166,22880,Northern Caucasus,Yessentukskaya,XYZ123
Elektrogorsk,MOS,22480,22842,Central,XYZ123,XYZ123
Cismy,BAS,21196,22733,Volga,Chishmy,XYZ123
Krasnouralsk,SVE,24980,22725,Ural,Krasnouralsk,XYZ123
Bronnicy,MOS,21102,22643,Central,Bronnitsy,XYZ123
Krasnoarmejsk,SAR,24364,22617,Volga,Krasnoarmeysk,XYZ123
Isilkul,OMS,24482,22615,Siberia,Isilkul,XYZ123
Lermontov,STA,22541,22601,Northern Caucasus,XYZ123,XYZ123
Kalacinsk,OMS,23556,22587,Siberia,Kalachinsk,XYZ123
Gurjevsk,KEM,24817,22569,Siberia,Guryevsk,XYZ123
Kommunar,LEN,20211,22522,North West,XYZ123,XYZ123
Nikolskoje,LEN,19280,22490,North West,Nikolskoye,XYZ123
Staraja Kupavna,MOS,21811,22476,Central,Staraya Kupavna,XYZ123
Chadyzensk,KND,21579,22315,Southern,Khadyzhensk,XYZ123
Velsk,ARC,23885,22311,North West,Velsk,XYZ123
Mendelejevsk,TAT,22075,22305,Volga,Mendeleyevsk,XYZ123
Afipskij,KND,18969,22154,Southern,Afipsky,XYZ123
Bavly,TAT,22109,22145,Volga,XYZ123,XYZ123
Bezencuk,SAM,22952,22093,Volga,Bezenchuk,XYZ123
Ust-Katav,CEL,23580,22042,Ural,XYZ123,XYZ123
Viljucinsk,KAM,22905,21979,Far East,Vilyuchinsk,Petropavlovsk-Kamcatskij-50
Zvenigorod,MOS,16395,21931,Central,XYZ123,XYZ123
Semikarakorsk,ROS,23884,21896,Southern,XYZ123,XYZ123
Omutninsk,KIR,23615,21844,Volga,XYZ123,XYZ123
Kotovo,VGG,24115,21780,Southern,XYZ123,XYZ123
Svetlyj,KLN,21375,21679,North West,Svetly,XYZ123
Verescagino,PER,22156,21648,Volga,Vereshchagino,XYZ123
Tarko-Sale,TUM,20398,21583,Ural,XYZ123,XYZ123
Chotkovo,MOS,21505,21236,Central,Khotkovo,XYZ123
Rjazsk,RAZ,21674,21189,Central,Ryazhsk,XYZ123
Lyskovo,NNO,21880,21176,Volga,XYZ123,XYZ123
Achtyrskij,KND,20100,21169,Southern,Akhtyrsky,XYZ123
Sysert,SVE,20465,21091,Ural,Sysert,XYZ123
Togucin,NSB,21900,21063,Siberia,Toguchin,XYZ123
Nerechta,KOS,22828,21060,Central,Nerekhta,XYZ123
Cernogolovka,MOS,20983,21059,Central,Chernogolovka,XYZ123
Karacajevsk,KCE,21483,21027,Northern Caucasus,Karachayevsk,XYZ123
Vichorevka,IRK,22520,20955,Siberia,Vikhorevka,XYZ123
Dudinka,KNJ,22175,20952,Siberia,XYZ123,XYZ123
Osa,PER,21188,20899,Volga,XYZ123,XYZ123
Berezovka,KNJ,20887,20847,Siberia,Beryozovka,XYZ123
Puscino,MOS,20332,20797,Central,Pushchino,XYZ123
Bezeck,TVE,24522,20778,Central,Bezhetsk,XYZ123
