Name,Administration,Pop2010,Pop2019,Region,city,city2,1,2,3,4
Gukovo,ROS,67278,63771,Southern,XYZ123,XYZ123,NA,NA,NA,NA
Asbest,SVE,68893,63325,Ural,XYZ123,XYZ123,NA,NA,NA,NA
Klincy,BRA,62510,63050,Central,Klintsy,XYZ123,NA,NA,NA,NA
Donskoj,TUL,64552,63014,Central,Donskoy,XYZ123,NA,NA,NA,NA
Naro-Fominsk,MOS,64665,62970,Central,XYZ123,XYZ123,NA,NA,NA,NA
Rossos,VRN,62865,62716,Central,Rossosh,XYZ123,NA,NA,NA,NA
Revda,SVE,61875,62326,Ural,XYZ123,XYZ123,NA,NA,NA,NA
Volsk,SAR,66508,62195,Volga,Volsk,XYZ123,Rylsk,NA,NA,NA
Budennovsk,STA,64624,62073,Northern Caucasus,Budyonnovsk,XYZ123,NA,NA,NA,NA
Leninogorsk,TAT,64127,61974,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Tuapse,KND,63292,61938,Southern,XYZ123,XYZ123,NA,NA,NA,NA
Zelenogorsk,KNJ,66056,61915,Siberia,XYZ123,Krasnojarsk-45,NA,NA,NA,NA
Kotlas,ARC,60562,61821,North West,XYZ123,XYZ123,NA,NA,NA,NA
Sibaj,BAS,62763,61344,Volga,Sibay,XYZ123,NA,NA,NA,NA
Polevskoj,SVE,64220,61332,Ural,Polevskoy,XYZ123,NA,NA,NA,NA
Urus-Martan,CEC,49070,61221,Northern Caucasus,XYZ123,XYZ123,NA,NA,NA,NA
Lysva,PER,65918,60947,Volga,Lysva,XYZ123,NA,NA,NA,NA
Borisoglebsk,VRN,65585,60878,Central,XYZ123,XYZ123,NA,NA,NA,NA
Frjazino,MOS,55369,59987,Central,Fryazino,XYZ123,NA,NA,NA,NA
Labinsk,KND,62864,59842,Southern,XYZ123,XYZ123,NA,NA,NA,NA
Cistopol,TAT,60755,59816,Volga,Chistopol,XYZ123,NA,NA,NA,NA
Kumertau,BAS,62851,59762,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Izberbas,DAG,55646,59494,Northern Caucasus,Izberbash,XYZ123,NA,NA,NA,NA
Lesosibirsk,KNJ,61139,59356,Siberia,XYZ123,XYZ123,NA,NA,NA,NA
Belebej,BAS,60188,59137,Volga,Belebey,XYZ123,NA,NA,NA,NA
Berezovskij,SVE,51651,58771,Ural,Beryozovsky,XYZ123,Berezovsky,Berezovsky,NA,NA
